num_layer,port,train_fitted,train_real,train_MAPE,train_RMSE,test_results,test_real,test_MAPE,test_RMSE
1,Rotterdam(10kTEU),"[1007.12282982 1043.2214035  1079.26877174 1115.86869965 1189.49049454
 1179.04672394 1236.51199493 1287.52405701 1292.57899933 1283.01840591
 1365.00061798]","[ 989.99999771 1080.00000572  974.30000381 1114.50000458 1187.60001755
 1186.49999542 1162.10001755 1229.79999619 1222.99998322 1237.99998779
 1372.99999008]",3.438559444682686,50.92453835207091,[1436.530616   1672.95039368 2003.01158295],[1451.0000061  1482.         1435.00001678],17.821510088864187,346.0773301779467
1,Kelang(10kTEU),"[ 769.71330817  811.99430813  869.53289109  874.72816615 1010.10316089
 1070.2227404  1158.65652597 1214.1173378  1292.80577813 1405.02615733
 1466.72617519]","[ 731.19999919  796.99999663  730.90000623  887.00000743  960.29998049
 1000.00000919 1034.99999653 1094.60001312 1189.00002176 1319.99998015
 1373.        ]",7.688407000424347,87.82957562701647,[1491.31173842 1443.19076433 1491.77303259],[1232.00002354 1357.9999982  1323.99998738],13.3309869922159,184.97551802660232
1,Kaohsiung(10kTEU),"[ 932.18810089  963.73595545  907.14470781  916.63000181  961.77117167
  989.54708748 1011.47364762 1078.24500809 1057.18114915 1063.53583088
 1054.82422409]","[ 920.00000145  967.70000134  858.1         918.10000091  963.599997
  978.10000181  993.79999561 1059.3        1025.99999986 1045.99999616
 1027.00000267]",1.814713273179459,22.220826095767396,[1062.25863447 1055.89457464 1058.55709143],[1045.00000534 1041.9999969   961.99999969],4.340705312591564,57.196129049607094
1,Dalian(10kTEU),"[ 505.77270544  529.0953891   520.51908934  550.34510553  688.91374332
  907.20833129 1060.82738245 1066.06616151 1060.09051204 1054.02959299
 1054.1174407 ]","[ 464.1999943   450.30000398  455.19999644  524.20000386  639.99999535
  805.9999876   991.20000392 1001.10001111  944.99998629  961.00001431
  970.00001216]",10.003301031608242,76.01882708644857,[1055.64503598 1055.33269918 1055.68036604],[ 976.99999458 1021.          654.00000793],24.27710482692667,237.14333700922097
1,Hanburg(10kTEU),"[948.13905056 933.09950644 853.22523452 844.19765896 920.89256626
 947.05903913 944.47968992 930.91877148 853.90493692 938.9971103
 934.23896534]","[935.99999914 973.7        700.70000001 789.9999967  901.40000181
 886.29999987 930.20000778 972.9999929  881.99999813 891.00000101
 885.99999217]",5.726302307375156,59.89650417639255,[939.58025943 934.60875213 938.00126724],[872.99999524 930.00000808 869.99999971],5.312802284536524,55.01013387364509
1,Antwerp(10kTEU),"[ 875.12576765  847.83092677  839.43029855  867.37235145  869.52170314
  839.14871304  900.08726794  906.17324125  948.06432174 1031.76892558
 1085.66447629]","[ 835.50000049  866.40000151  730.89999957  846.80000819  866.40000151
  863.29999593  857.79999408  897.79999137  964.99999394 1004.00001356
 1044.99998851]",3.7815164818276,41.86552435838362,[1141.50903758 1209.83712782 1217.10142102],[1109.99999747 1109.99999747 1204.        ],4.307048749689268,60.915021240085366
1,Xiamen(10kTEU),"[ 468.36019031  500.80544487  523.99525406  507.78891172  625.43660442
  711.77097331  813.87672389  905.77820219  964.80379099 1023.13167177
 1061.55059952]","[ 462.70000227  503.39999246  468.00000046  582.00000596  645.00001134
  720.09998355  800.80001674  857.20001477  918.00000074  960.99998462
 1037.99997706]",4.706993154717404,40.75429408640633,[1122.83429917 1096.90953565 1178.01180692],[ 999.99997947 1111.99997773 1141.        ],5.62809689359612,74.57851654346972
1,Tanjung(10kTEU),"[582.43972138 613.86036542 640.31982222 714.65087873 769.30400127
 838.8191061  862.56598157 885.76298082 904.13153595 909.98780102
 909.93091607]","[549.99999589 560.00000077 601.59999192 653.00000453 751.99999732
 769.99999917 762.80000538 855.00000596 909.99999809 827.99998581
 837.9999907 ]",7.130849669918333,58.090006644324866,[914.59930396 914.83768559 917.52389205],[896.0000121  909.99999809 985.        ],3.152598032285669,40.5066332952954
1,Los Angeles(10kTEU),"[696.34118457 781.94955944 695.95087688 787.19407332 754.39521161
 798.61429865 824.92978687 836.21070416 823.53274463 905.61422339
 975.2751731 ]","[710.3        784.99999967 726.09999954 783.10000284 794.00000056
 807.79999678 786.8999965  833.99999672 816.00000196 885.99999874
 943.00000204]",2.2555812366050976,22.797727063655945,[996.00088378 999.78962435 998.36381013],[946.         930.00000154 919.99999899],7.102523919526523,67.11077093905185
1,Long Beach(10kTEU),"[734.02587826 644.73643501 454.67480607 608.94249513 616.14579845
 619.07119074 682.43213925 720.69732171 737.23372886 663.67752848
 736.31013937]","[731.20000749 648.80000384 506.7        626.29999566 610.00000428
 604.50000268 672.99999455 682.10000181 718.99999636 680.00000153
 753.99999499]",2.8920212526170244,22.90897729798766,[501.93169053 568.03511325 472.42966491],[808.99999282 762.99999101 811.        ],35.085401027037065,286.89842432216676
2,Ningbo(10kTEU),"[ 846.94191976  989.85706793 1129.87464541 1147.56714322 1427.50669213
 1617.03576015 1825.99311364 2002.59901199 2253.38578397 2491.14832965
 2660.13137573]","[ 934.9999981  1084.6000206  1042.00000843 1300.39998369 1451.19998008
 1567.10000852 1677.39993784 1870.00003746 2062.99994424 2160.00002486
 2461.00001228]",8.341715761141357,158.4260423849333,[2980.67241663 3189.56974012 3399.5913555 ],[2634.99994579 2748.99993271 2872.        ],15.83840705158162,444.20109961506705
2,Shanghai(10kTEU),"[2673.30309976 2721.88023574 2794.22851743 2903.59940726 3175.93174627
 3292.06087159 3517.3788659  3671.24393128 3794.36093166 3894.4482409
 3969.68392526]","[2615.00001215 2797.99997204 2500.19998405 2906.89993685 3173.90001409
 3252.899993   3361.69997575 3528.50008061 3653.99991498 3713.00003027
 4022.99998683]",3.3474114784308258,133.9178285598972,[4128.24047004 4214.69295162 4329.3157035 ],[4200.99998081 4329.99996384 4350.        ],1.6234791765044936,79.61887045359569
2,Singapore(10kTEU),"[3041.98034884 3054.58390042 3076.52016474 3075.01964283 3138.91584269
 3143.35941952 3447.54932294 3398.1227253  3369.87569833 3395.98583907
 3399.17712054]","[2793.59998438 2991.79999009 2586.69998821 2843.09999049 2993.79999225
 3164.89997818 3257.89998392 3386.90002849 3091.99998468 3089.99998252
 3366.99999756]",6.328036253989089,231.3671237833071,[3391.05839075 3378.26743948 3346.97604256],[3660.00002987 3720.         3660.00002987],8.362353066579162,309.3513454552204
2,Shenzhen(10kTEU),"[2320.23452589 2286.24055538 2050.13758053 2432.92650768 2479.8777222
 2426.96264437 2570.56533358 2577.98150229 2600.12934864 2618.56377959
 2639.25176474]","[2109.90000257 2141.39997709 1825.00001942 2250.89997646 2257.00001177
 2294.00000849 2327.7999633  2403.69998425 2419.99999052 2397.00001979
 2520.99998611]",8.353079897564403,190.98385501897346,[2645.75620234 2670.14198759 2687.89614624],[2774.         2577.00000611 2655.00003096],3.1588153930194167,93.45953625818369
2,Hong Kong(10kTEU),"[2476.16547375 2490.63097448 2088.45920071 2423.49031138 2480.4870779
 2351.0005851  2254.69101374 2249.83866036 2016.24535253 2029.26903253
 2043.96165968]","[2399.80001549 2449.4        2104.00000765 2369.89999795 2438.39998602
 2311.70000049 2236.69999577 2222.59999429 2006.99999342 1981.00000064
 2075.99999555]",1.6147172694670202,40.97496666828316,[2077.90345292 2071.57483327 2063.36248951],[1960.0000008  1830.         2006.99999342],7.3415295294275404,158.57317454543343
2,Busan(10kTEU),"[1376.44884832 1321.11893091 1297.6273068  1397.34295953 1691.41037029
 1760.12830353 1845.69588238 1960.75565976 2022.7842937  2067.83575834
 2116.11035595]","[1327.00000662 1345.19999227 1197.99999926 1419.40000476 1618.39999484
 1704.59999856 1768.59999348 1867.80002941 1944.99997714 1984.9999896
 2048.99998453]",3.9944443762804864,69.96856334839238,[2149.27158233 2170.45647006 2196.59019032],[2166.00002413 2199.         2158.99998753],1.2704786615527608,28.911342709569503
2,Guangzhou(10kTEU),"[ 935.82345396 1063.35432988 1130.09461793 1204.04356438 1305.80250353
 1470.83923924 1569.36881632 1673.83704591 1829.74152344 1925.7304948
 2136.6019578 ]","[1025.69998002 1100.09997991 1118.99997437 1255.00001121 1425.99998939
 1474.30000824 1530.90002811 1660.00002831 1721.99997872 1885.00002462
 2037.00004482]",3.861064245327007,68.40132860340817,[2302.83635503 2478.93714535 2636.04201663],[2186.99996316 2323.         2319.00003386],8.560277481608601,214.6703533482109
